combined_id,date,detection_source,confidence,combined_class,soft_hard_delay_sec,slx_flare_id,slx_peak_utc,slx_start_utc,slx_end_utc,slx_peak_counts,slx_bg,slx_duration_sec,slx_class,slx_intensity_ratio,slx_rise_time_sec,slx_decay_time_sec,hel_flare_id,hel_peak_utc,hel_start_utc,hel_end_utc,hel_peak_ctr,hel_bg,hel_duration_sec,hel_class,hel_intensity_ratio,hel_rise_time_sec,hel_decay_time_sec,hel_detector,hel_energy_band
CMB_20260601_001,2026-06-01,HEL1OS_only,MEDIUM,X,,,,,,,,,,,,,HEL_20260601_001,2026-06-01 05:18:27.721,2026-06-01 00:00:06.721,2026-06-01 23:59:19.776,47.0,1e-06,86330.0,X,47000000.0,19101.0,67229.0,CdTe,
CMB_20260602_001,2026-06-02,SoLEXS_only,MEDIUM,X,,SLX_20260602_001,2026-06-02 04:44:58.000,2026-06-02 04:43:59.000,2026-06-02 04:49:59.000,737.0,13.0,361.0,X,56.69230769230769,59.0,301.0,,,,,,,,,,,,,
CMB_20260602_002,2026-06-02,SoLEXS_only,MEDIUM,B,,SLX_20260602_002,2026-06-02 06:59:41.000,2026-06-02 06:58:22.000,2026-06-02 07:04:33.000,100.0,20.0,372.0,B,5.0,79.0,293.0,,,,,,,,,,,,,
CMB_20260602_003,2026-06-02,SoLEXS_only,MEDIUM,B,,SLX_20260602_003,2026-06-02 07:55:08.000,2026-06-02 07:54:26.000,2026-06-02 07:59:28.000,32.0,7.0,303.0,B,4.571428571428571,42.0,261.0,,,,,,,,,,,,,
CMB_20260602_004,2026-06-02,SoLEXS_only,MEDIUM,B,,SLX_20260602_004,2026-06-02 08:44:04.000,2026-06-02 08:38:18.000,2026-06-02 08:44:59.000,142.0,32.0,402.0,B,4.4375,346.0,56.0,,,,,,,,,,,,,
CMB_20260602_005,2026-06-02,HEL1OS_only,MEDIUM,X,,,,,,,,,,,,,HEL_20260602_001,2026-06-02 10:02:39.780,2026-06-02 00:00:07.780,2026-06-02 11:59:37.780,1329.0,1e-06,43170.0,X,1329000000.0,36152.0,7018.0,CdTe,
CMB_20260602_006,2026-06-02,SoLEXS_only,MEDIUM,M,,SLX_20260602_005,2026-06-02 10:04:44.000,2026-06-02 09:58:58.000,2026-06-02 10:09:59.000,743.0,21.0,662.0,M,35.38095238095238,346.0,315.0,,,,,,,,,,,,,
CMB_20260602_007,2026-06-02,SoLEXS_only,MEDIUM,C,,SLX_20260602_006,2026-06-02 13:58:03.000,2026-06-02 13:56:17.000,2026-06-02 14:03:39.000,87.0,13.0,443.0,C,6.6923076923076925,106.0,336.0,,,,,,,,,,,,,
CMB_20260602_008,2026-06-02,SoLEXS_only,MEDIUM,M,,SLX_20260602_007,2026-06-02 16:49:15.000,2026-06-02 16:39:24.000,2026-06-02 16:57:27.000,2043.0,80.69999999999999,1084.0,M,25.315985130111528,591.0,493.0,,,,,,,,,,,,,
CMB_20260602_009,2026-06-02,SoLEXS_only,MEDIUM,C,,SLX_20260602_008,2026-06-02 18:12:49.000,2026-06-02 18:11:42.000,2026-06-02 18:18:15.000,100.0,18.0,394.0,C,5.555555555555555,67.0,326.0,,,,,,,,,,,,,
CMB_20260602_010,2026-06-02,SoLEXS_only,MEDIUM,C,,SLX_20260602_009,2026-06-02 20:39:26.000,2026-06-02 20:32:36.000,2026-06-02 20:43:38.000,167.0,31.0,663.0,C,5.387096774193548,410.0,252.0,,,,,,,,,,,,,
CMB_20260603_001,2026-06-03,SoLEXS_only,MEDIUM,B,,SLX_20260603_001,2026-06-03 00:39:25.000,2026-06-03 00:32:24.000,2026-06-03 00:39:59.000,128.0,36.0,456.0,B,3.5555555555555554,421.0,35.0,,,,,,,,,,,,,
CMB_20260603_002,2026-06-03,SoLEXS_only,MEDIUM,B,,SLX_20260603_002,2026-06-03 01:35:06.000,2026-06-03 01:26:12.000,2026-06-03 01:42:18.000,6580.0,2057.7,967.0,B,3.1977450551586726,534.0,432.0,,,,,,,,,,,,,
CMB_20260603_003,2026-06-03,SoLEXS_only,MEDIUM,B,,SLX_20260603_003,2026-06-03 04:56:19.000,2026-06-03 04:54:21.000,2026-06-03 04:59:18.000,65.0,15.0,298.0,B,4.333333333333333,118.0,180.0,,,,,,,,,,,,,
CMB_20260603_004,2026-06-03,SoLEXS_only,MEDIUM,X,,SLX_20260603_004,2026-06-03 07:00:27.000,2026-06-03 06:55:36.000,2026-06-03 07:09:33.000,5343.0,43.69999999999999,838.0,X,122.26544622425632,291.0,546.0,,,,,,,,,,,,,
CMB_20260603_005,2026-06-03,SoLEXS_only,MEDIUM,B,,SLX_20260603_005,2026-06-03 07:15:02.000,2026-06-03 07:15:00.000,2026-06-03 07:17:20.000,283.0,76.0,141.0,B,3.723684210526316,2.0,138.0,,,,,,,,,,,,,
CMB_20260603_006,2026-06-03,SoLEXS_only,MEDIUM,C,,SLX_20260603_006,2026-06-03 10:59:17.000,2026-06-03 10:58:23.000,2026-06-03 11:04:59.000,85.0,15.0,397.0,C,5.666666666666667,54.0,342.0,,,,,,,,,,,,,
CMB_20260603_007,2026-06-03,SoLEXS+HEL1OS,HIGH,X,112.218,SLX_20260603_007,2026-06-03 11:28:03.000,2026-06-03 11:21:39.000,2026-06-03 11:37:02.000,7190.0,51.0,924.0,X,140.98039215686273,384.0,539.0,HEL_20260603_001,2026-06-03 11:26:10.782,2026-06-03 00:00:09.782,2026-06-03 23:59:36.732,12882.0,1e-06,85892.0,X,12882000000.0,41161.0,44731.0,CdTe,
CMB_20260603_008,2026-06-03,SoLEXS_only,MEDIUM,B,,SLX_20260603_008,2026-06-03 15:36:52.000,2026-06-03 15:34:51.000,2026-06-03 15:40:25.000,49.0,17.0,335.0,B,2.8823529411764706,121.0,214.0,,,,,,,,,,,,,
CMB_20260603_009,2026-06-03,SoLEXS_only,MEDIUM,C,,SLX_20260603_009,2026-06-03 20:52:35.000,2026-06-03 20:51:40.000,2026-06-03 20:57:45.000,54.0,9.0,366.0,C,6.0,55.0,310.0,,,,,,,,,,,,,
