flare_id,date,detector,flare_class,start_utc,peak_utc,end_utc,peak_counts,mean_counts,bg_at_peak,duration_sec,rise_time_sec,decay_time_sec,intensity_ratio
SLX_20260602_001,2026-06-02,SDD2,X,2026-06-02 04:43:59.000,2026-06-02 04:44:58.000,2026-06-02 04:49:59.000,737.0,279.4958448753463,13.0,361,59,301,56.69230769230769
SLX_20260602_002,2026-06-02,SDD2,B,2026-06-02 06:58:22.000,2026-06-02 06:59:41.000,2026-06-02 07:04:33.000,100.0,63.545698924731184,20.0,372,79,293,5.0
SLX_20260602_003,2026-06-02,SDD2,B,2026-06-02 07:54:26.000,2026-06-02 07:55:08.000,2026-06-02 07:59:28.000,32.0,15.0,7.0,303,42,261,4.571428571428571
SLX_20260602_004,2026-06-02,SDD2,B,2026-06-02 08:38:18.000,2026-06-02 08:44:04.000,2026-06-02 08:44:59.000,142.0,98.0223880597015,32.0,402,346,56,4.4375
SLX_20260602_005,2026-06-02,SDD2,M,2026-06-02 09:58:58.000,2026-06-02 10:04:44.000,2026-06-02 10:09:59.000,743.0,503.2326283987915,21.0,662,346,315,35.38095238095238
SLX_20260602_006,2026-06-02,SDD2,C,2026-06-02 13:56:17.000,2026-06-02 13:58:03.000,2026-06-02 14:03:39.000,87.0,42.60045146726862,13.0,443,106,336,6.6923076923076925
SLX_20260602_007,2026-06-02,SDD2,M,2026-06-02 16:39:24.000,2026-06-02 16:49:15.000,2026-06-02 16:57:27.000,2043.0,1076.2389298892988,80.69999999999999,1084,591,493,25.315985130111528
SLX_20260602_008,2026-06-02,SDD2,C,2026-06-02 18:11:42.000,2026-06-02 18:12:49.000,2026-06-02 18:18:15.000,100.0,62.068527918781726,18.0,394,67,326,5.555555555555555
SLX_20260602_009,2026-06-02,SDD2,C,2026-06-02 20:32:36.000,2026-06-02 20:39:26.000,2026-06-02 20:43:38.000,167.0,114.62745098039215,31.0,663,410,252,5.387096774193548
SLX_20260603_001,2026-06-03,SDD2,B,2026-06-03 00:32:24.000,2026-06-03 00:39:25.000,2026-06-03 00:39:59.000,128.0,88.96929824561404,36.0,456,421,35,3.5555555555555554
